sample_id,donor,stimulation,stimulus_concentration_ng_ml,perturbagen,cytokine_concentration_ng_ml,protein,response_value
266,donor_1,LPS,2000,IL-10,50,CCL1,0.00603559846
266,donor_1,LPS,2000,IL-10,50,CCL2,1.0573827
266,donor_1,LPS,2000,IL-10,50,CCL22,-0.110124372
266,donor_1,LPS,2000,IL-10,50,CCL24,-0.0037484034
266,donor_1,LPS,2000,IL-10,50,CCL5,0.549461782
266,donor_1,LPS,2000,IL-10,50,CCL7,0.0879049227
266,donor_1,LPS,2000,IL-10,50,CCL8,-0.152571529
266,donor_1,LPS,2000,IL-10,50,CXCL1,0.691268563
266,donor_1,LPS,2000,IL-10,50,CXCL10,-0.0159012396
266,donor_1,LPS,2000,IL-10,50,CXCL16,0.601334691
266,donor_1,LPS,2000,IL-10,50,G-CSF,0.0171932653
266,donor_1,LPS,2000,IL-10,50,GM-CSF,-0.03073298
266,donor_1,LPS,2000,IL-10,50,IFN gamma,0.0460818037
266,donor_1,LPS,2000,IL-10,50,IL-1 RA RN,0.552132964
266,donor_1,LPS,2000,IL-10,50,IL-1 alpha,-0.00437608501
266,donor_1,LPS,2000,IL-10,50,IL-1 beta,0.247769535
266,donor_1,LPS,2000,IL-10,50,IL-12 p40,-0.0190311242
266,donor_1,LPS,2000,IL-10,50,IL-6,0.767447233
266,donor_1,LPS,2000,IL-10,50,MMP-1,0.421144128
266,donor_1,LPS,2000,IL-10,50,TNF RII,0.34702453
266,donor_1,LPS,2000,IL-10,50,TNF alpha,0.269167304
101,donor_1,LPS,2000,control,0,CCL1,0.70394218
101,donor_1,LPS,2000,control,0,CCL2,0.347103477
101,donor_1,LPS,2000,control,0,CCL22,0.333009452
101,donor_1,LPS,2000,control,0,CCL24,0.432120562
101,donor_1,LPS,2000,control,0,CCL5,0.677842677
101,donor_1,LPS,2000,control,0,CCL7,0.023035761
101,donor_1,LPS,2000,control,0,CCL8,-0.250116557
101,donor_1,LPS,2000,control,0,CXCL1,0.655574799
101,donor_1,LPS,2000,control,0,CXCL10,0.0101317437
101,donor_1,LPS,2000,control,0,CXCL16,0.280986547
101,donor_1,LPS,2000,control,0,G-CSF,0.278972119
101,donor_1,LPS,2000,control,0,GM-CSF,0.0966664329
101,donor_1,LPS,2000,control,0,IFN gamma,0.964203179
101,donor_1,LPS,2000,control,0,IL-1 RA RN,0.254349053
101,donor_1,LPS,2000,control,0,IL-1 alpha,0.512430966
101,donor_1,LPS,2000,control,0,IL-1 beta,0.919603169
101,donor_1,LPS,2000,control,0,IL-12 p40,0.531201184
101,donor_1,LPS,2000,control,0,IL-6,0.997451723
101,donor_1,LPS,2000,control,0,MMP-1,0.263128072
101,donor_1,LPS,2000,control,0,TNF RII,0.106461287
101,donor_1,LPS,2000,control,0,TNF alpha,1.05414832
127,donor_1,LPS,2000,control,0,CCL1,0.527846932
127,donor_1,LPS,2000,control,0,CCL2,0.36919722
127,donor_1,LPS,2000,control,0,CCL22,0.343210638
127,donor_1,LPS,2000,control,0,CCL24,0.3531501
127,donor_1,LPS,2000,control,0,CCL5,0.72046417
127,donor_1,LPS,2000,control,0,CCL7,0.0158993974
127,donor_1,LPS,2000,control,0,CCL8,-0.0906986222
127,donor_1,LPS,2000,control,0,CXCL1,0.665359378
127,donor_1,LPS,2000,control,0,CXCL10,0.00080211868
127,donor_1,LPS,2000,control,0,CXCL16,0.280095309
127,donor_1,LPS,2000,control,0,G-CSF,0.261597335
127,donor_1,LPS,2000,control,0,GM-CSF,0.104683593
127,donor_1,LPS,2000,control,0,IFN gamma,1.03284025
127,donor_1,LPS,2000,control,0,IL-1 RA RN,0.266459376
